budget_scaled,vote_count_scaled,metascore_minmax,run_time_scaled,age_scaled,mpa_0,mpa_1,mpa_2,mpa_3,mpa_4,mpa_5,mpa_6,mpa_7,mpa_8,mpa_9,mpa_10,mpa_11,mpa_12,mpa_13,mpa_14,mpa_15,mpa_16,mpa_17,mpa_18,mpa_19,mpa_20,mpa_21,mpa_22,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_10,genre_11,genre_12,genre_13,genre_14,genre_15,genre_16,rating
0.23584707237527217,-0.41285178420880136,0.5454545454545455,-0.3949144612397275,0.0998573572033955,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5.9
0.33662525766966733,1.5186722297281126,0.8787878787878789,-0.48278469584615386,0.46098471817972897,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,7.2
0.1882631676507004,-0.41285178420880136,0.577777777777778,0.0444367117924042,0.7118365533979514,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,
-0.5545535186467316,-1.0085612524919756,0.49191919191919203,-0.7463953996654329,0.8206504811224491,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,
1.0450583205713393,0.9209166847995424,0.5151515151515152,0.22017718100525688,0.4962273858563814,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.2
-0.7095765985558351,-0.8079641494848864,0.7838383838383839,-0.21917399202687482,0.7315493550468446,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,8.2
-2.875619573148037,0.08495622910525082,0.6666666666666667,-0.9221358688782856,0.419842881136513,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,5.4
-1.738057014664505,-1.239368920886072,0.36464646464646466,-0.7903305169686461,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.1
0.06648130803278371,-0.06176139767899842,0.6323232323232324,-0.5706549304525802,0.17070727966372012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,5.7
-0.034153679429662624,-1.4832883703249615,0.5353535353535355,0.8792039405534544,0.17070727966372012,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.7
0.5488927113747073,0.4779265405756187,0.585858585858586,0.8792039405534544,0.7377845879804261,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.8
0.3729583817970931,-0.6104113501151528,0.393939393939394,-0.43884957854294065,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,8.3
-0.6898876803249483,-0.7505781616016548,0.5252525252525253,-0.3509793439365143,0.17070727966372012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,
-0.17843928102190987,-0.5353033438949626,0.6636363636363638,-0.263109109330088,0.396370028652986,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,
0.412586158450206,0.122456715601226,0.7575757575757577,0.30804741561168325,0.4962273858563814,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.4
