iter	Passed	Remaining
226	700	5468
227	703	5471
228	708	5475
229	712	5485
230	717	5495
231	723	5509
232	725	5502
233	728	5501
234	731	5493
235	734	5488
236	738	5495
237	741	5488
238	743	5481
239	746	5476
240	749	5469
241	752	5464
242	755	5459
243	758	5458
244	760	5450
245	763	5446
246	766	5441
247	769	5437
248	772	5430
249	776	5434
250	779	5429
251	781	5423
252	784	5417
253	787	5413
254	790	5407
255	792	5401
256	796	5400
257	798	5394
258	802	5392
259	805	5389
260	808	5384
261	812	5386
262	814	5381
263	818	5379
264	820	5373
265	824	5372
266	827	5370
267	832	5381
268	836	5381
269	840	5386
270	843	5379
271	846	5375
272	849	5371
273	852	5373
274	855	5368
275	858	5364
276	861	5360
277	864	5356
278	867	5352
279	870	5346
280	873	5340
281	875	5334
282	878	5329
283	881	5327
284	884	5322
285	888	5324
286	893	5335
287	899	5345
288	903	5348
289	906	5343
290	909	5338
291	912	5336
292	914	5330
293	917	5325
294	920	5320
295	923	5317
296	926	5311
297	930	5312
298	932	5307
299	936	5306
300	939	5301
301	943	5304
302	946	5298
303	949	5296
304	952	5292
305	955	5287
306	958	5287
307	961	5281
308	964	5276
309	967	5272
310	969	5267
311	972	5260
312	975	5256
313	978	5251
314	980	5245
315	983	5239
316	985	5232
317	988	5225
318	990	5219
319	993	5216
320	996	5211
321	998	5205
322	1001	5199
323	1004	5196
324	1007	5191
325	1009	5185
326	1012	5182
327	1015	5175
328	1019	5176
329	1021	5171
330	1024	5165
331	1026	5158
332	1029	5152
333	1031	5145
334	1033	5138
335	1036	5131
336	1038	5124
337	1041	5119
338	1043	5114
339	1046	5109
340	1048	5102
341	1051	5097
342	1054	5092
343	1056	5086
344	1059	5080
345	1062	5076
346	1066	5080
347	1070	5081
348	1072	5074
349	1075	5069
350	1077	5063
351	1080	5059
352	1083	5053
353	1085	5048
354	1088	5043
355	1090	5037
356	1093	5031
357	1095	5025
358	1098	5021
359	1101	5016
360	1103	5011
361	1106	5006
362	1110	5008
363	1113	5003
364	1116	4999
365	1118	4993
366	1121	4988
367	1123	4982
368	1126	4977
369	1128	4973
370	1131	4967
371	1133	4962
372	1136	4958
373	1139	4954
374	1141	4948
375	1144	4943
376	1146	4937
377	1149	4934
378	1152	4928
379	1155	4924
380	1157	4920
381	1160	4914
382	1162	4909
383	1166	4909
384	1169	4904
385	1171	4899
386	1174	4894
387	1176	4888
388	1179	4884
389	1182	4879
390	1184	4873
391	1187	4869
392	1189	4864
393	1193	4864
394	1196	4861
395	1199	4857
396	1201	4853
397	1204	4849
398	1207	4844
399	1209	4838
400	1212	4835
401	1215	4831
402	1217	4826
403	1220	4822
404	1223	4818
405	1226	4814
406	1228	4809
407	1231	4804
408	1234	4800
409	1236	4795
410	1238	4789
411	1241	4785
412	1244	4780
413	1246	4775
414	1249	4771
415	1251	4767
416	1254	4763
417	1257	4758
418	1259	4753
419	1262	4749
420	1266	4749
421	1268	4744
422	1271	4740
423	1274	4736
424	1276	4732
425	1279	4727
426	1282	4725
427	1285	4720
428	1287	4716
429	1290	4711
430	1293	4707
431	1295	4702
432	1298	4697
433	1300	4693
434	1303	4688
435	1305	4684
436	1308	4680
437	1311	4675
438	1313	4670
439	1316	4666
440	1318	4661
441	1321	4658
442	1324	4653
443	1326	4649
444	1329	4644
445	1331	4640
446	1334	4635
447	1336	4629
448	1338	4625
449	1341	4621
450	1344	4617
451	1346	4612
452	1349	4608
453	1351	4603
454	1354	4599
455	1357	4595
456	1359	4591
457	1362	4586
458	1364	4582
459	1367	4577
460	1369	4572
461	1372	4568
462	1374	4563
463	1377	4559
464	1379	4554
465	1382	4549
466	1384	4544
467	1387	4540
468	1389	4535
469	1391	4531
470	1394	4527
471	1397	4522
472	1399	4517
473	1401	4512
474	1404	4508
475	1407	4505
476	1409	4501
477	1412	4497
478	1414	4492
479	1417	4488
480	1419	4483
481	1422	4479
482	1425	4477
483	1428	4472
484	1430	4468
485	1433	4464
486	1435	4460
487	1438	4455
488	1440	4451
489	1442	4446
490	1445	4442
491	1448	4438
492	1450	4433
493	1452	4429
494	1455	4425
495	1457	4420
496	1460	4416
497	1462	4412
498	1465	4408
499	1467	4403
500	1470	4399
501	1473	4396
502	1475	4392
503	1478	4388
504	1481	4384
505	1483	4380
506	1486	4376
507	1488	4372
508	1491	4368
509	1493	4364
510	1496	4360
511	1499	4357
512	1501	4353
513	1504	4348
514	1506	4344
515	1509	4340
516	1511	4336
517	1514	4332
518	1516	4328
519	1519	4324
520	1521	4320
521	1524	4316
522	1527	4312
523	1529	4308
524	1532	4304
525	1534	4300
526	1536	4295
527	1539	4291
528	1542	4287
529	1544	4283
530	1546	4279
531	1549	4275
532	1551	4271
533	1554	4266
534	1556	4262
535	1558	4257
536	1561	4254
537	1564	4250
538	1566	4246
539	1569	4242
540	1571	4238
541	1574	4234
542	1577	4231
543	1579	4227
544	1582	4223
545	1584	4220
546	1587	4215
547	1589	4211
548	1591	4207
549	1594	4203
550	1596	4199
551	1599	4195
552	1601	4191
553	1604	4187
554	1606	4183
555	1609	4179
556	1611	4175
557	1614	4171
558	1616	4167
559	1619	4163
560	1621	4159
561	1624	4155
562	1626	4151
563	1628	4147
564	1631	4143
565	1633	4139
566	1636	4135
567	1638	4132
568	1641	4128
569	1644	4124
570	1646	4120
571	1649	4116
572	1651	4112
573	1653	4108
574	1656	4104
575	1659	4102
576	1662	4100
577	1665	4097
578	1669	4096
579	1671	4093
580	1674	4089
581	1676	4085
582	1679	4081
583	1681	4077
584	1684	4073
585	1686	4070
586	1689	4066
587	1691	4063
588	1694	4059
589	1696	4055
590	1699	4051
591	1702	4048
592	1704	4044
593	1706	4040
594	1709	4036
595	1712	4033
596	1714	4029
597	1717	4025
598	1719	4022
599	1722	4018
600	1724	4015
601	1727	4012
602	1729	4007
603	1732	4004
604	1734	4000
605	1737	3996
606	1740	3993
607	1742	3989
608	1745	3986
609	1748	3985
610	1751	3981
611	1754	3978
612	1756	3974
613	1759	3971
614	1761	3967
615	1764	3964
616	1766	3960
617	1769	3956
618	1772	3953
619	1774	3950
620	1777	3947
621	1780	3943
622	1782	3940
623	1785	3936
624	1788	3933
625	1791	3931
626	1793	3928
627	1796	3924
628	1798	3920
629	1801	3917
630	1803	3913
631	1806	3910
632	1809	3906
633	1811	3903
634	1814	3900
635	1816	3896
636	1819	3893
637	1822	3889
638	1824	3886
639	1827	3883
640	1831	3883
641	1835	3882
642	1837	3878
643	1840	3875
644	1842	3871
645	1845	3868
646	1848	3865
647	1850	3861
648	1853	3857
649	1855	3854
650	1858	3850
651	1860	3847
652	1863	3843
653	1865	3840
654	1868	3837
655	1871	3833
656	1873	3830
657	1876	3826
658	1878	3823
659	1881	3819
660	1883	3816
661	1886	3812
662	1889	3809
663	1891	3806
664	1894	3802
665	1896	3799
666	1899	3795
667	1901	3792
668	1904	3788
669	1906	3785
670	1909	3781
671	1911	3778
672	1914	3774
673	1917	3773
674	1920	3770
675	1924	3769
676	1927	3765
677	1930	3763
678	1932	3760
679	1935	3757
680	1938	3755
681	1941	3752
682	1944	3749
683	1948	3747
684	1950	3744
685	1953	3742
686	1956	3739
687	1959	3736
688	1962	3734
689	1966	3733
690	1968	3729
691	1972	3727
692	1975	3724
693	1978	3722
694	1980	3719
695	1983	3716
696	1986	3713
697	1991	3714
698	1995	3713
699	1998	3711
700	2002	3709
701	2004	3706
702	2007	3704
703	2010	3700
704	2015	3702
705	2021	3704
706	2026	3706
707	2031	3707
708	2034	3705
709	2038	3704
710	2042	3702
711	2045	3699
712	2049	3698
713	2051	3695
714	2055	3694
715	2058	3691
716	2061	3688
717	2063	3685
718	2066	3682
719	2069	3678
720	2071	3675
721	2074	3671
722	2077	3669
723	2080	3666
724	2082	3662
725	2085	3659
726	2088	3656
727	2091	3653
728	2094	3650
729	2096	3647
730	2099	3644
731	2103	3644
732	2106	3641
733	2109	3639
734	2113	3637
735	2116	3634
736	2119	3631
737	2122	3630
738	2125	3627
739	2128	3624
740	2130	3620
741	2133	3617
742	2137	3616
743	2140	3613
744	2143	3610
745	2146	3608
746	2149	3605
747	2152	3602
748	2154	3599
749	2157	3596
750	2161	3594
751	2163	3590
752	2166	3587
753	2169	3585
754	2172	3582
755	2175	3579
756	2177	3576
757	2180	3573
758	2183	3570
759	2186	3567
760	2189	3564
761	2191	3561
762	2194	3557
763	2197	3554
764	2200	3551
765	2203	3549
766	2206	3546
767	2208	3543
768	2211	3540
769	2214	3537
770	2217	3534
771	2220	3532
772	2223	3529
773	2227	3528
774	2230	3525
775	2233	3522
776	2236	3519
777	2238	3516
778	2241	3513
779	2244	3509
780	2246	3506
781	2249	3503
782	2251	3500
783	2254	3496
784	2257	3493
785	2259	3490
786	2262	3486
787	2264	3483
788	2267	3480
789	2270	3477
790	2272	3474
791	2275	3470
792	2277	3467
793	2280	3464
794	2283	3460
795	2285	3457
796	2288	3453
797	2290	3450
798	2293	3447
799	2296	3444
800	2299	3441
801	2301	3438
802	2304	3435
803	2307	3432
804	2310	3429
805	2312	3426
806	2316	3424
807	2319	3421
808	2321	3418
809	2324	3415
810	2327	3411
811	2329	3408
812	2332	3405
813	2335	3402
814	2338	3399
815	2340	3396
816	2343	3393
817	2346	3390
818	2348	3386
819	2351	3383
820	2353	3380
821	2356	3377
822	2359	3374
823	2363	3372
824	2366	3370
825	2369	3367
826	2372	3364
827	2374	3361
828	2377	3358
829	2380	3355
830	2383	3352
831	2386	3350
832	2389	3347
833	2392	3345
834	2395	3342
835	2398	3338
836	2400	3335
837	2404	3334
838	2407	3331
839	2409	3327
840	2412	3324
841	2415	3321
842	2417	3318
843	2421	3316
844	2427	3317
845	2432	3317
846	2436	3316
847	2439	3314
848	2442	3311
849	2445	3308
850	2448	3306
851	2451	3302
852	2453	3299
853	2456	3296
854	2459	3293
855	2461	3289
856	2464	3286
857	2466	3283
858	2469	3280
859	2472	3277
860	2475	3274
861	2477	3270
862	2480	3267
863	2482	3264
864	2485	3260
865	2488	3258
866	2491	3256
867	2494	3253
868	2497	3250
869	2499	3246
870	2502	3244
871	2505	3240
872	2508	3237
873	2510	3234
874	2513	3231
875	2516	3228
876	2518	3225
877	2521	3222
878	2524	3219
879	2527	3216
880	2530	3213
881	2533	3210
882	2536	3208
883	2538	3205
884	2541	3202
885	2544	3199
886	2547	3196
887	2550	3193
888	2553	3190
889	2555	3187
890	2559	3185
891	2562	3182
892	2565	3180
893	2568	3177
894	2571	3174
895	2574	3171
896	2577	3168
897	2579	3165
898	2582	3163
899	2585	3160
900	2588	3157
901	2591	3154
902	2593	3150
903	2596	3147
904	2599	3144
905	2602	3142
906	2604	3139
907	2607	3135
908	2610	3133
909	2612	3129
910	2615	3126
911	2619	3124
912	2622	3121
913	2625	3118
914	2627	3116
915	2630	3112
916	2633	3109
917	2636	3106
918	2638	3103
919	2641	3100
920	2643	3097
921	2646	3094
922	2649	3091
923	2652	3088
924	2655	3085
925	2657	3082
926	2660	3079
927	2663	3076
928	2666	3074
929	2669	3071
930	2672	3068
931	2675	3065
932	2677	3062
933	2680	3059
934	2683	3056
935	2685	3052
936	2688	3049
937	2690	3046
938	2693	3043
939	2695	3040
940	2698	3036
941	2701	3034
942	2704	3030
943	2706	3027
944	2709	3024
945	2711	3021
946	2714	3018
947	2716	3015
948	2719	3011
949	2722	3008
950	2724	3005
951	2727	3002
952	2730	2999
953	2732	2996
954	2735	2993
955	2737	2989
956	2740	2986
957	2742	2983
958	2745	2980
959	2748	2977
960	2750	2973
961	2753	2970
962	2755	2967
963	2758	2964
964	2761	2961
965	2763	2958
966	2766	2955
967	2769	2952
968	2771	2949
969	2775	2947
970	2778	2944
971	2782	2943
972	2788	2943
973	2792	2941
974	2798	2942
975	2803	2941
976	2807	2939
977	2810	2936
978	2812	2933
979	2815	2930
980	2818	2927
981	2821	2924
982	2823	2921
983	2826	2918
984	2829	2915
985	2831	2912
986	2834	2909
987	2837	2906
988	2839	2902
989	2842	2899
990	2845	2896
991	2847	2893
992	2850	2890
993	2853	2887
994	2855	2884
995	2858	2881
996	2861	2878
997	2863	2875
998	2866	2872
999	2869	2869
1000	2872	2866
1001	2876	2864
1002	2878	2861
1003	2881	2858
1004	2883	2855
1005	2886	2852
1006	2889	2849
1007	2892	2846
1008	2895	2843
1009	2897	2840
1010	2900	2837
1011	2903	2834
1012	2907	2832
1013	2910	2829
1014	2912	2826
1015	2915	2823
1016	2918	2821
1017	2921	2818
1018	2924	2815
1019	2926	2811
1020	2929	2809
1021	2932	2806
1022	2935	2803
1023	2937	2800
1024	2940	2797
1025	2943	2794
1026	2946	2791
1027	2948	2788
1028	2951	2784
1029	2954	2782
1030	2957	2779
1031	2960	2776
1032	2963	2773
1033	2965	2770
1034	2968	2767
1035	2971	2764
1036	2973	2761
1037	2976	2758
1038	2979	2755
1039	2981	2752
1040	2984	2749
1041	2988	2747
1042	2990	2744
1043	2993	2740
1044	2995	2737
1045	2998	2734
1046	3001	2732
1047	3006	2731
1048	3009	2728
1049	3012	2725
1050	3015	2722
1051	3019	2720
1052	3022	2717
1053	3024	2714
1054	3027	2711
1055	3029	2708
1056	3032	2705
1057	3036	2703
1058	3040	2701
1059	3043	2698
1060	3045	2695
1061	3048	2692
1062	3050	2689
1063	3053	2686
1064	3056	2683
1065	3058	2679
1066	3061	2676
1067	3064	2674
1068	3066	2670
1069	3069	2668
1070	3072	2665
1071	3075	2662
1072	3077	2658
1073	3080	2655
1074	3082	2652
1075	3085	2649
1076	3088	2646
1077	3090	2643
1078	3093	2640
1079	3096	2637
1080	3098	2634
1081	3101	2631
1082	3103	2628
1083	3106	2625
1084	3109	2621
1085	3112	2619
1086	3114	2616
1087	3117	2612
1088	3119	2609
1089	3122	2606
1090	3125	2604
1091	3128	2600
1092	3130	2597
1093	3133	2594
1094	3135	2591
1095	3138	2588
1096	3140	2585
1097	3142	2581
1098	3145	2578
1099	3147	2575
1100	3150	2572
1101	3153	2569
1102	3155	2566
1103	3158	2563
1104	3160	2560
1105	3163	2557
1106	3166	2554
1107	3168	2550
1108	3170	2547
1109	3173	2544
1110	3176	2541
1111	3178	2538
1112	3181	2535
1113	3183	2532
1114	3186	2528
1115	3188	2525
1116	3191	2522
1117	3193	2519
1118	3195	2516
1119	3198	2512
1120	3200	2509
1121	3203	2506
1122	3205	2503
1123	3208	2500
1124	3211	2497
1125	3213	2494
1126	3216	2491
1127	3219	2488
1128	3221	2485
1129	3224	2482
1130	3227	2479
1131	3229	2476
1132	3232	2473
1133	3235	2470
1134	3237	2467
1135	3239	2464
1136	3242	2461
1137	3245	2458
1138	3247	2454
1139	3250	2451
1140	3252	2448
1141	3255	2445
1142	3258	2442
1143	3260	2439
1144	3263	2436
1145	3265	2433
1146	3268	2430
1147	3270	2427
1148	3273	2424
1149	3275	2421
1150	3278	2418
1151	3280	2415
1152	3283	2411
1153	3285	2408
1154	3288	2405
1155	3290	2402
1156	3293	2399
1157	3295	2396
1158	3298	2393
1159	3301	2390
1160	3303	2387
1161	3305	2384
1162	3308	2381
1163	3311	2378
1164	3313	2375
1165	3316	2371
1166	3318	2368
1167	3321	2365
1168	3323	2362
1169	3326	2359
1170	3328	2356
1171	3330	2353
1172	3333	2350
1173	3336	2347
1174	3338	2344
1175	3341	2341
1176	3343	2338
1177	3346	2334
1178	3349	2332
1179	3352	2329
1180	3354	2326
1181	3356	2323
1182	3359	2319
1183	3361	2316
1184	3364	2313
1185	3366	2310
1186	3369	2307
1187	3371	2304
1188	3374	2301
1189	3376	2298
1190	3379	2295
1191	3382	2292
1192	3385	2289
1193	3387	2286
1194	3390	2283
1195	3393	2281
1196	3396	2278
1197	3398	2275
1198	3401	2272
1199	3403	2269
1200	3406	2266
1201	3408	2263
1202	3412	2260
1203	3414	2257
1204	3417	2254
1205	3420	2252
1206	3423	2249
1207	3426	2246
1208	3428	2243
1209	3431	2240
1210	3434	2237
1211	3437	2234
1212	3440	2231
1213	3443	2229
1214	3447	2227
1215	3451	2225
1216	3454	2222
1217	3456	2219
1218	3459	2216
1219	3462	2213
1220	3464	2210
1221	3467	2207
1222	3470	2204
1223	3473	2201
1224	3477	2200
1225	3480	2197
1226	3483	2194
1227	3486	2191
1228	3489	2188
1229	3491	2185
1230	3494	2183
1231	3499	2181
1232	3502	2178
1233	3505	2175
1234	3508	2173
1235	3514	2172
1236	3518	2170
1237	3521	2167
1238	3524	2164
1239	3527	2162
1240	3530	2159
1241	3533	2156
1242	3536	2153
1243	3539	2150
1244	3542	2148
1245	3546	2146
1246	3549	2143
1247	3552	2140
1248	3555	2137
1249	3558	2134
1250	3561	2132
1251	3564	2129
1252	3567	2126
1253	3569	2123
1254	3572	2120
1255	3576	2118
1256	3579	2115
1257	3582	2112
1258	3585	2110
1259	3588	2107
1260	3591	2104
1261	3594	2102
1262	3597	2099
1263	3600	2096
1264	3604	2094
1265	3607	2091
1266	3611	2089
1267	3614	2086
1268	3618	2084
1269	3621	2081
1270	3624	2078
1271	3627	2076
1272	3630	2073
1273	3634	2071
1274	3637	2068
1275	3641	2066
1276	3645	2064
1277	3650	2062
1278	3654	2060
1279	3657	2057
1280	3661	2054
1281	3663	2052
1282	3667	2049
1283	3669	2046
1284	3672	2043
1285	3675	2040
1286	3679	2038
1287	3681	2035
1288	3684	2032
1289	3687	2029
1290	3690	2026
1291	3693	2023
1292	3697	2021
1293	3701	2019
1294	3704	2016
1295	3708	2014
1296	3710	2011
1297	3714	2008
1298	3716	2005
1299	3720	2003
1300	3723	2000
1301	3726	1997
1302	3729	1995
1303	3732	1992
1304	3735	1989
1305	3738	1986
1306	3742	1984
1307	3746	1981
1308	3750	1979
1309	3752	1976
1310	3755	1973
1311	3758	1970
1312	3760	1967
1313	3763	1964
1314	3766	1961
1315	3769	1959
1316	3772	1956
1317	3774	1953
1318	3777	1950
1319	3780	1947
1320	3783	1944
1321	3788	1942
1322	3793	1941
1323	3797	1938
1324	3800	1935
1325	3803	1933
1326	3806	1930
1327	3809	1927
1328	3811	1924
1329	3816	1922
1330	3819	1919
1331	3822	1917
1332	3826	1914
1333	3829	1911
1334	3832	1909
1335	3835	1906
1336	3840	1904
1337	3845	1902
1338	3849	1900
1339	3853	1897
1340	3855	1894
1341	3858	1891
1342	3861	1889
1343	3864	1886
1344	3867	1883
1345	3870	1880
1346	3873	1877
1347	3876	1875
1348	3880	1872
1349	3883	1869
1350	3886	1867
1351	3889	1864
1352	3893	1861
1353	3896	1858
1354	3899	1856
1355	3902	1853
1356	3905	1850
1357	3908	1847
1358	3912	1845
1359	3915	1842
1360	3918	1839
1361	3924	1838
1362	3929	1836
1363	3933	1834
1364	3939	1832
1365	3942	1829
1366	3945	1826
1367	3948	1824
1368	3951	1821
1369	3954	1818
1370	3957	1815
1371	3960	1812
1372	3963	1809
1373	3966	1807
1374	3969	1804
1375	3972	1801
1376	3975	1798
1377	3978	1795
1378	3981	1792
1379	3984	1790
1380	3987	1787
1381	3991	1784
1382	3994	1781
1383	3998	1779
1384	4001	1776
1385	4005	1774
1386	4008	1771
1387	4011	1768
1388	4014	1765
1389	4017	1763
1390	4021	1760
1391	4026	1758
1392	4030	1756
1393	4034	1753
1394	4037	1751
1395	4040	1748
1396	4043	1745
1397	4046	1742
1398	4050	1740
1399	4053	1737
1400	4056	1734
1401	4059	1731
1402	4063	1729
1403	4067	1726
1404	4070	1723
1405	4074	1721
1406	4077	1718
1407	4080	1715
1408	4082	1712
1409	4085	1709
1410	4088	1706
1411	4091	1703
1412	4094	1700
1413	4097	1698
1414	4101	1695
1415	4110	1695
1416	4117	1693
1417	4126	1693
1418	4136	1693
1419	4145	1693
1420	4151	1691
1421	4156	1689
1422	4163	1688
1423	4169	1686
1424	4175	1684
1425	4181	1683
1426	4185	1680
1427	4190	1678
1428	4194	1676
1429	4197	1673
1430	4200	1670
1431	4203	1667
1432	4208	1665
1433	4211	1662
1434	4214	1659
1435	4217	1656
1436	4221	1653
1437	4224	1650
1438	4228	1648
1439	4233	1646
1440	4238	1644
1441	4241	1641
1442	4243	1638
1443	4247	1635
1444	4251	1632
1445	4255	1630
1446	4259	1627
1447	4263	1625
1448	4266	1622
1449	4269	1619
1450	4273	1616
1451	4276	1613
1452	4279	1610
1453	4282	1608
1454	4284	1605
1455	4288	1602
1456	4291	1599
1457	4294	1596
1458	4298	1593
1459	4301	1590
1460	4304	1588
1461	4307	1585
1462	4311	1582
1463	4313	1579
1464	4316	1576
1465	4320	1573
1466	4322	1570
1467	4325	1567
1468	4328	1564
1469	4331	1561
1470	4335	1559
1471	4338	1556
1472	4340	1553
1473	4343	1550
1474	4346	1547
1475	4349	1544
1476	4352	1541
1477	4355	1538
1478	4358	1535
1479	4361	1532
1480	4364	1529
1481	4367	1526
1482	4370	1523
1483	4372	1520
1484	4375	1517
1485	4378	1514
1486	4381	1511
1487	4384	1508
1488	4388	1506
1489	4391	1503
1490	4395	1500
1491	4399	1498
1492	4402	1495
1493	4407	1492
1494	4410	1489
1495	4413	1486
1496	4418	1484
1497	4422	1482
1498	4425	1479
1499	4429	1476
1500	4432	1473
1501	4436	1471
1502	4440	1468
1503	4443	1465
1504	4448	1462
1505	4451	1460
1506	4456	1457
1507	4459	1454
1508	4462	1452
1509	4466	1449
1510	4469	1446
1511	4471	1443
1512	4475	1440
1513	4478	1437
1514	4481	1434
1515	4483	1431
1516	4486	1428
1517	4489	1425
1518	4491	1422
1519	4494	1419
1520	4497	1416
1521	4500	1413
1522	4503	1410
1523	4506	1407
1524	4509	1404
1525	4512	1401
1526	4515	1398
1527	4518	1395
1528	4521	1392
1529	4524	1389
1530	4526	1386
1531	4530	1383
1532	4532	1380
1533	4535	1377
1534	4537	1374
1535	4540	1371
1536	4543	1368
1537	4545	1365
1538	4548	1362
1539	4551	1359
1540	4553	1356
1541	4556	1353
1542	4558	1350
1543	4561	1347
1544	4563	1344
1545	4566	1341
1546	4569	1337
1547	4571	1334
1548	4574	1331
1549	4576	1328
1550	4579	1325
1551	4582	1322
1552	4584	1319
1553	4586	1316
1554	4589	1313
1555	4592	1310
1556	4594	1307
1557	4597	1304
1558	4599	1301
1559	4602	1298
1560	4604	1295
1561	4607	1291
1562	4609	1288
1563	4612	1285
1564	4615	1282
1565	4617	1279
1566	4620	1276
1567	4622	1273
1568	4625	1270
1569	4627	1267
1570	4630	1264
1571	4633	1261
1572	4635	1258
1573	4638	1255
1574	4640	1252
1575	4643	1249
1576	4645	1246
1577	4648	1243
1578	4651	1240
1579	4653	1237
1580	4656	1233
1581	4658	1230
1582	4661	1227
1583	4663	1224
1584	4666	1221
1585	4669	1218
1586	4672	1215
1587	4674	1212
1588	4679	1210
1589	4683	1207
1590	4688	1205
1591	4692	1202
1592	4696	1199
1593	4700	1197
1594	4705	1194
1595	4708	1191
1596	4711	1188
1597	4713	1185
1598	4716	1182
1599	4720	1180
1600	4722	1177
1601	4726	1174
1602	4729	1171
1603	4732	1168
1604	4734	1165
1605	4737	1162
1606	4740	1159
1607	4743	1156
1608	4748	1153
1609	4752	1151
1610	4756	1148
1611	4759	1145
1612	4762	1142
1613	4765	1139
1614	4768	1136
1615	4771	1133
1616	4774	1130
1617	4777	1127
1618	4779	1124
1619	4782	1121
1620	4785	1118
1621	4788	1115
1622	4791	1112
1623	4794	1109
1624	4796	1106
1625	4799	1103
1626	4803	1101
1627	4806	1098
1628	4810	1095
1629	4813	1092
1630	4816	1089
1631	4820	1086
1632	4823	1083
1633	4825	1080
1634	4829	1078
1635	4832	1075
1636	4837	1072
1637	4841	1069
1638	4844	1066
1639	4846	1063
1640	4849	1060
1641	4853	1058
1642	4856	1055
1643	4859	1052
1644	4862	1049
1645	4865	1046
1646	4869	1043
1647	4872	1040
1648	4876	1038
1649	4879	1035
1650	4883	1032
1651	4886	1029
1652	4890	1026
1653	4895	1024
1654	4898	1021
1655	4903	1018
1656	4907	1015
1657	4910	1012
1658	4913	1009
1659	4916	1006
1660	4919	1003
1661	4922	1001
1662	4926	998
1663	4929	995
1664	4932	992
1665	4936	989
1666	4940	986
1667	4943	984
1668	4948	981
1669	4951	978
1670	4954	975
1671	4958	972
1672	4963	970
1673	4967	967
1674	4971	964
1675	4974	961
1676	4978	958
1677	4981	955
1678	4984	953
1679	4989	950
1680	4993	947
1681	4996	944
1682	5000	941
1683	5004	939
1684	5007	936
1685	5010	933
1686	5013	930
1687	5016	927
1688	5019	924
1689	5023	921
1690	5026	918
1691	5029	915
1692	5033	912
1693	5036	909
1694	5039	906
1695	5041	903
1696	5044	900
1697	5047	897
1698	5050	894
1699	5053	891
1700	5056	888
1701	5058	885
1702	5062	882
1703	5065	879
